system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
4,NC_011770.1,SoFic,NC_011770.1_578,PDLC03963,SoFic__SoFic,SoFic,2.8e-39,3.4e-39,0.949,0.925,619892,621013,-,-,578,6059,"PDLC03963,SoFic__SoFic, 1, 3.4e-39, 0.949, 0.925","PDLC03963, SoFic__SoFic, 3.4e-39, 0.949, 0.925"
5,NC_011770.1,Tiamat,NC_011770.1_2415,PDLC03969,Tiamat__TmtA_2731770353,TmtA,0,0,0.992,0.98,2517164,2521864,-,-,2415,6059,"PDLC03967,Tiamat__TmtA_2639564464, 1, 0.68, 0.053, 0.067 | PDLC03967,Tiamat__TmtA_2639564464, 2, 0.0012, 0.04, 0.057 | PDLC03969,Tiamat__TmtA_2731770353, 1, 0, 0.992, 0.98 | PDLC03968,Tiamat__TmtA_2660206627, 1, 0.00096, 0.019, 0.021 | PDLC03968,Tiamat__TmtA_2660206627, 2, 8.7e-25, 0.2, 0.205 | PDLC03968,Tiamat__TmtA_2660206627, 3, 0.64, 0.048, 0.049 | PDLC03968,Tiamat__TmtA_2660206627, 4, 6.2e-09, 0.407, 0.39 | PDLC03972,Tiamat__TmtA_2752664533, 1, 1.3e-25, 0.386, 0.451 | PDLC03972,Tiamat__TmtA_2752664533, 2, 9.8, 0.084, 0.106 | PDLC03972,Tiamat__TmtA_2752664533, 3, 3.5e-06, 0.05, 0.057 | PDLC03971,Tiamat__TmtA_2734769103, 1, 1.1e-06, 0.059, 0.048 | PDLC03971,Tiamat__TmtA_2734769103, 2, 2.7e-14, 0.107, 0.094 | PDLC03971,Tiamat__TmtA_2734769103, 3, 220, 0.075, 0.063 | PDLC03971,Tiamat__TmtA_2734769103, 4, 12, 0.077, 0.069 | PDLC03971,Tiamat__TmtA_2734769103, 5, 0.0016, 0.047, 0.041 | PDLC03965,Tiamat__TmtA_2505168307, 1, 2.5e-23, 0.449, 0.347 | PDLC03965,Tiamat__TmtA_2505168307, 2, 1.2e-16, 0.162, 0.159 | PDLC03970,Tiamat__TmtA_2731874159, 1, 3.6e-09, 0.055, 0.044 | PDLC03970,Tiamat__TmtA_2731874159, 2, 150, 0.034, 0.03 | PDLC03964,Tiamat__TmtA, 1, 7.5e-13, 0.239, 0.239 | PDLC03964,Tiamat__TmtA, 2, 180, 0.026, 0.027 | PDLC03964,Tiamat__TmtA, 3, 3.3e-06, 0.049, 0.047 | PDLC03966,Tiamat__TmtA_2599863134, 1, 1.8e-30, 0.192, 0.194 | PDLC03966,Tiamat__TmtA_2599863134, 2, 20, 0.218, 0.144 | PDLC03966,Tiamat__TmtA_2599863134, 3, 1.1e-25, 0.123, 0.1","PDLC03969, Tiamat__TmtA_2731770353, 0, 0.992, 0.98 | PDLC03966, Tiamat__TmtA_2599863134, 1.8e-30, 0.192, 0.194 | PDLC03972, Tiamat__TmtA_2752664533, 1.3e-25, 0.386, 0.451 | PDLC03968, Tiamat__TmtA_2660206627, 8.7e-25, 0.2, 0.205 | PDLC03965, Tiamat__TmtA_2505168307, 2.5e-23, 0.449, 0.347"
1,NC_011770.1,DMS_other,NC_011770.1_2417,PDLC03023,MTase_I_00006,MTase_I,0,0,0.993,0.985,2523507,2525630,+,-,2417,6059,"PDLC03616,REase_MTase_IIG_00021, 1, 0.00029, 0.225, 0.208 | PDLC03353,MTase_II_00139, 1, 0.0095, 0.076, 0.208 | PDLC03317,MTase_II_00103, 1, 1.7e-15, 0.246, 0.211 | PDLC03317,MTase_II_00103, 2, 0.029, 0.124, 0.091 | PDLC03267,MTase_II_00053, 1, 6.2, 0.071, 0.093 | PDLC03267,MTase_II_00053, 2, 0.54, 0.064, 0.083 | PDLC03029,MTase_I_00012, 1, 3.8e-11, 0.239, 0.225 | PDLC03024,MTase_I_00007, 1, 5.8e-79, 0.479, 0.538 | PDLC03024,MTase_I_00007, 2, 1.8e-59, 0.229, 0.244 | PDLC03034,MTase_I_00017, 1, 230, 0.056, 0.052 | PDLC03034,MTase_I_00017, 2, 8.8e-14, 0.124, 0.112 | PDLC03025,MTase_I_00008, 1, 1.8e-08, 0.22, 0.239 | PDLC03025,MTase_I_00008, 2, 0.014, 0.054, 0.067 | PDLC03018,MTase_I_00001, 1, 0.019, 0.121, 0.095 | PDLC03018,MTase_I_00001, 2, 2.9e-08, 0.095, 0.088 | PDLC03018,MTase_I_00001, 3, 2.9e-13, 0.123, 0.1 | PDLC03293,MTase_II_00079, 1, 3.7, 0.056, 0.087 | PDLC03293,MTase_II_00079, 2, 1.9, 0.051, 0.084 | PDLC03285,MTase_II_00071, 1, 45, 0.028, 0.048 | PDLC03285,MTase_II_00071, 2, 0.00021, 0.127, 0.184 | PDLC03027,MTase_I_00010, 1, 7.8e-06, 0.236, 0.175 | PDLC03027,MTase_I_00010, 2, 2.3, 0.116, 0.085 | PDLC03338,MTase_II_00124, 1, 4e-04, 0.256, 0.281 | PDLC03338,MTase_II_00124, 2, 56, 0.037, 0.043 | PDLC03035,MTase_I_00018, 1, 27, 0.14, 0.141 | PDLC03035,MTase_I_00018, 2, 0.00035, 0.251, 0.234 | PDLC03021,MTase_I_00004, 1, 8.6e-18, 0.419, 0.544 | PDLC03021,MTase_I_00004, 2, 2.6e-07, 0.13, 0.165 | PDLC03237,MTase_II_00023, 1, 0.15, 0.079, 0.057 | PDLC03237,MTase_II_00023, 2, 120, 0.055, 0.038 | PDLC04134,mads_2, 1, 9.7e-19, 0.78, 0.691 | PDLC03019,MTase_I_00002, 1, 0.03, 0.257, 0.165 | PDLC03218,MTase_II_00004, 1, 2.4e-06, 0.223, 0.259 | PDLC03218,MTase_II_00004, 2, 2.6e-15, 0.126, 0.143 | PDLC03033,MTase_I_00016, 1, 200, 0.065, 0.087 | PDLC03033,MTase_I_00016, 2, 68, 0.044, 0.063 | PDLC03033,MTase_I_00016, 3, 0.004, 0.12, 0.135 | PDLC03291,MTase_II_00077, 1, 7.2e-19, 0.445, 0.762 | PDLC02528,PglX_00014, 1, 1.3, 0.096, 0.058 | PDLC02528,PglX_00014, 1, 1.3, 0.096, 0.058 | PDLC02528,PglX_00014, 2, 0.17, 0.062, 0.039 | PDLC02528,PglX_00014, 2, 0.17, 0.062, 0.039 | PDLC03311,MTase_II_00097, 1, 290, 0.064, 0.078 | PDLC03311,MTase_II_00097, 2, 0.0013, 0.117, 0.149 | PDLC03348,MTase_II_00134, 1, 3.2e-06, 0.264, 0.252 | PDLC03348,MTase_II_00134, 2, 6.9, 0.069, 0.066 | PDLC03026,MTase_I_00009, 1, 9.9e-16, 0.236, 0.314 | PDLC03026,MTase_I_00009, 2, 3.4e-05, 0.126, 0.156 | PDLC03318,MTase_II_00104, 1, 0.51, 0.114, 0.129 | PDLC03318,MTase_II_00104, 2, 0.12, 0.064, 0.062 | PDLC03318,MTase_II_00104, 3, 3e-19, 0.162, 0.144 | PDLC03030,MTase_I_00013, 1, 0.014, 0.23, 0.236 | PDLC03030,MTase_I_00013, 2, 3.9e-11, 0.167, 0.16 | PDLC03023,MTase_I_00006, 1, 0, 0.993, 0.985 | PDLC03036,MTase_I_00019, 1, 210, 0.037, 0.041 | PDLC03036,MTase_I_00019, 2, 1.2e-06, 0.144, 0.161 | PDLC03036,MTase_I_00019, 3, 0.016, 0.124, 0.124 | PDLC03022,MTase_I_00005, 1, 0.058, 0.258, 0.197 | PDLC03022,MTase_I_00005, 2, 0.00034, 0.119, 0.083 | PDLC03357,MTase_II_00143, 1, 0.76, 0.096, 0.119 | PDLC03357,MTase_II_00143, 2, 1.5e-06, 0.126, 0.123 | PDLC03615,REase_MTase_IIG_00020, 1, 0.38, 0.229, 0.155 | PDLC03615,REase_MTase_IIG_00020, 2, 0.18, 0.129, 0.082 | PDLC03624,REase_MTase_IIG_00029, 1, 0.00021, 0.25, 0.129 | PDLC03624,REase_MTase_IIG_00029, 2, 0.14, 0.121, 0.057","PDLC03023, MTase_I_00006, 0, 0.993, 0.985 | PDLC03024, MTase_I_00007, 5.8e-79, 0.479, 0.538 | PDLC03318, MTase_II_00104, 3e-19, 0.162, 0.144 | PDLC03291, MTase_II_00077, 7.2e-19, 0.445, 0.762 | PDLC04134, mads_2, 9.7e-19, 0.78, 0.691"
1,NC_011770.1,DMS_other,NC_011770.1_2418,PDLC03120,Specificity_I_00069,Specificity_I,4.3e-53,1.7e-41,0.617,0.61,2525630,2527141,+,-,2418,6059,"PDLC03197,Specificity_I_00146, 1, 15, 0.175, 0.181 | PDLC03197,Specificity_I_00146, 2, 0.016, 0.19, 0.211 | PDLC03096,Specificity_I_00045, 1, 0.008, 0.226, 0.181 | PDLC03064,Specificity_I_00013, 1, 9.3, 0.206, 0.249 | PDLC03064,Specificity_I_00013, 2, 0.35, 0.171, 0.208 | PDLC03121,Specificity_I_00070, 1, 0.032, 0.238, 0.309 | PDLC03079,Specificity_I_00028, 1, 0.057, 0.256, 0.277 | PDLC03079,Specificity_I_00028, 2, 3.1e-07, 0.244, 0.264 | PDLC03120,Specificity_I_00069, 1, 8.2e-10, 0.361, 0.344 | PDLC03120,Specificity_I_00069, 2, 1.7e-41, 0.617, 0.61 | PDLC03155,Specificity_I_00104, 1, 1.4e-15, 0.51, 0.512 | PDLC03155,Specificity_I_00104, 2, 4.8e-12, 0.232, 0.233 | PDLC03155,Specificity_I_00104, 3, 3.2e-40, 0.202, 0.204 | PDLC03184,Specificity_I_00133, 1, 27, 0.087, 0.072 | PDLC03184,Specificity_I_00133, 2, 0.01, 0.234, 0.208 | PDLC03129,Specificity_I_00078, 1, 0.0027, 0.109, 0.13 | PDLC03095,Specificity_I_00044, 1, 2.9e-05, 0.159, 0.165 | PDLC03095,Specificity_I_00044, 2, 6.5e-26, 0.625, 0.677 | PDLC03179,Specificity_I_00128, 1, 0.13, 0.274, 0.238 | PDLC03179,Specificity_I_00128, 2, 7.7e-10, 0.375, 0.334 | PDLC03178,Specificity_I_00127, 1, 0.015, 0.171, 0.214 | PDLC03100,Specificity_I_00049, 1, 2e-05, 0.276, 0.357 | PDLC03100,Specificity_I_00049, 2, 9.6e-09, 0.462, 0.587 | PDLC03068,Specificity_I_00017, 1, 0.91, 0.24, 0.29 | PDLC03068,Specificity_I_00017, 2, 1.5e-09, 0.266, 0.337 | PDLC03084,Specificity_I_00033, 1, 350, 0.123, 0.148 | PDLC03084,Specificity_I_00033, 2, 3e-04, 0.232, 0.304 | PDLC03087,Specificity_I_00036, 1, 18, 0.188, 0.237 | PDLC03087,Specificity_I_00036, 2, 0.00014, 0.246, 0.309 | PDLC03072,Specificity_I_00021, 1, 26, 0.222, 0.252 | PDLC03072,Specificity_I_00021, 2, 0.0023, 0.26, 0.301 | PDLC03181,Specificity_I_00130, 1, 0.0072, 0.425, 0.463 | PDLC03105,Specificity_I_00054, 1, 2.4, 0.226, 0.257 | PDLC03105,Specificity_I_00054, 2, 1e-07, 0.312, 0.364 | PDLC03088,Specificity_I_00037, 1, 880, 0.06, 0.046 | PDLC03088,Specificity_I_00037, 2, 0.043, 0.262, 0.217 | PDLC03183,Specificity_I_00132, 1, 37, 0.069, 0.079 | PDLC03183,Specificity_I_00132, 2, 0.09, 0.127, 0.159 | PDLC03101,Specificity_I_00050, 1, 29, 0.264, 0.319 | PDLC03101,Specificity_I_00050, 2, 1.5, 0.163, 0.202 | PDLC03189,Specificity_I_00138, 1, 1.5, 0.21, 0.216 | PDLC03189,Specificity_I_00138, 2, 0.009, 0.232, 0.24 | PDLC03073,Specificity_I_00022, 1, 0.26, 0.25, 0.302 | PDLC03073,Specificity_I_00022, 2, 0.0044, 0.171, 0.206 | PDLC03169,Specificity_I_00118, 1, 0.0093, 0.272, 0.302 | PDLC03169,Specificity_I_00118, 2, 1.6e-06, 0.26, 0.297 | PDLC03146,Specificity_I_00095, 1, 0.017, 0.226, 0.269 | PDLC03146,Specificity_I_00095, 2, 38, 0.119, 0.143 | PDLC03069,Specificity_I_00018, 1, 1.9, 0.268, 0.362 | PDLC03069,Specificity_I_00018, 2, 2.2e-05, 0.296, 0.411 | PDLC03165,Specificity_I_00114, 1, 5.5, 0.236, 0.294 | PDLC03165,Specificity_I_00114, 2, 0.003, 0.242, 0.302 | PDLC03126,Specificity_I_00075, 1, 280, 0.135, 0.11 | PDLC03126,Specificity_I_00075, 2, 0.00023, 0.278, 0.203 | PDLC03148,Specificity_I_00097, 1, 0.0043, 0.147, 0.172 | PDLC03077,Specificity_I_00026, 1, 6.7, 0.296, 0.355 | PDLC03077,Specificity_I_00026, 2, 0.00017, 0.321, 0.384 | PDLC03076,Specificity_I_00025, 1, 460, 0.129, 0.123 | PDLC03076,Specificity_I_00025, 2, 9.2e-09, 0.258, 0.273 | PDLC03168,Specificity_I_00117, 1, 0.011, 0.23, 0.255 | PDLC03168,Specificity_I_00117, 2, 4.3e-07, 0.274, 0.301 | PDLC03154,Specificity_I_00103, 1, 89, 0.129, 0.16 | PDLC03154,Specificity_I_00103, 2, 0.0024, 0.179, 0.222 | PDLC03057,Specificity_I_00006, 1, 10, 0.101, 0.138 | PDLC03057,Specificity_I_00006, 2, 150, 0.063, 0.079 | PDLC03057,Specificity_I_00006, 3, 0.0017, 0.119, 0.145 | PDLC03172,Specificity_I_00121, 1, 320, 0.067, 0.072 | PDLC03172,Specificity_I_00121, 2, 0.00072, 0.242, 0.302 | PDLC03112,Specificity_I_00061, 1, 0.0021, 0.204, 0.28 | PDLC03092,Specificity_I_00041, 1, 0.069, 0.28, 0.34 | PDLC03196,Specificity_I_00145, 1, 81, 0.212, 0.138 | PDLC03196,Specificity_I_00145, 2, 7.9e-05, 0.238, 0.159 | PDLC03052,Specificity_I_00001, 1, 2, 0.232, 0.25 | PDLC03052,Specificity_I_00001, 2, 120, 0.187, 0.211 | PDLC03052,Specificity_I_00001, 3, 8.7, 0.091, 0.099 | PDLC03153,Specificity_I_00102, 1, 13, 0.071, 0.086 | PDLC03153,Specificity_I_00102, 2, 0.0016, 0.276, 0.341 | PDLC03098,Specificity_I_00047, 1, 16, 0.208, 0.223 | PDLC03098,Specificity_I_00047, 2, 0.0025, 0.24, 0.273 | PDLC03078,Specificity_I_00027, 1, 0.069, 0.25, 0.303 | PDLC03078,Specificity_I_00027, 2, 0.00059, 0.244, 0.298 | PDLC03089,Specificity_I_00038, 1, 0.29, 0.206, 0.235 | PDLC03089,Specificity_I_00038, 2, 0.00024, 0.22, 0.253 | PDLC03107,Specificity_I_00056, 1, 0.0011, 0.246, 0.306 | PDLC03107,Specificity_I_00056, 2, 0.054, 0.165, 0.207 | PDLC04137,mads_5, 1, 0.0057, 0.246, 0.306 | PDLC04137,mads_5, 2, 4.7e-05, 0.302, 0.375 | PDLC03099,Specificity_I_00048, 1, 1600, 0.087, 0.109 | PDLC03099,Specificity_I_00048, 2, 0.083, 0.24, 0.291 | PDLC03108,Specificity_I_00057, 1, 44, 0.236, 0.257 | PDLC03108,Specificity_I_00057, 2, 1e-07, 0.306, 0.343 | PDLC03086,Specificity_I_00035, 1, 0.0037, 0.212, 0.231 | PDLC03086,Specificity_I_00035, 2, 3.9e-08, 0.29, 0.325","PDLC03120, Specificity_I_00069, 1.7e-41, 0.617, 0.61 | PDLC03155, Specificity_I_00104, 3.2e-40, 0.202, 0.204 | PDLC03095, Specificity_I_00044, 6.5e-26, 0.625, 0.677 | PDLC03179, Specificity_I_00128, 7.7e-10, 0.375, 0.334 | PDLC03068, Specificity_I_00017, 1.5e-09, 0.266, 0.337"
6,NC_011770.1,cbass_type_III,NC_011770.1_2731,PDLC00915,TRIP13_00002,TRIP13,3.999999999999999e-155,4.699999999999999e-155,0.974,0.983,2858302,2859216,+,-,2731,6059,"PDLC00914,TRIP13_00001, 1, 3.3e-14, 0.603, 0.606 | PDLC00915,TRIP13_00002, 1, 4.7e-155, 0.974, 0.983","PDLC00915, TRIP13_00002, 4.7e-155, 0.974, 0.983 | PDLC00914, TRIP13_00001, 3.3e-14, 0.603, 0.606"
6,NC_011770.1,cbass_type_III,NC_011770.1_2732,PDLC00881,HORMA_00003,HORMA,7.6e-77,8.399999999999999e-77,0.987,0.994,2859213,2859683,+,-,2732,6059,"PDLC00881,HORMA_00003, 1, 8.4e-77, 0.987, 0.994","PDLC00881, HORMA_00003, 8.4e-77, 0.987, 0.994"
6,NC_011770.1,cbass_type_III,NC_011770.1_2733,PDLC00882,HORMA_00004,HORMA,1.0999999999999997e-87,1.1999999999999998e-87,0.982,0.988,2859680,2860180,+,-,2733,6059,"PDLC00882,HORMA_00004, 1, 1.2e-87, 0.982, 0.988 | PDLC00883,HORMA_00005, 1, 5.3e-19, 0.868, 0.88","PDLC00882, HORMA_00004, 1.2e-87, 0.982, 0.988 | PDLC00883, HORMA_00005, 5.3e-19, 0.868, 0.88"
6,NC_011770.1,cbass_type_III,NC_011770.1_2734,PDLC00809,Cyclase_00049,Cyclase,9.999999999999996e-152,1.0999999999999996e-151,0.993,0.997,2860180,2861082,+,-,2734,6059,"PDLC00805,Cyclase_00045, 1, 4.1e-26, 0.947, 0.892 | PDLC00774,Cyclase_00014, 1, 7.4e-08, 0.99, 0.905 | PDLC00820,Cyclase_00060, 1, 7e-20, 0.963, 0.83 | PDLC00818,Cyclase_00058, 1, 7.5e-43, 0.98, 0.904 | PDLC00801,Cyclase_00041, 1, 3.1e-07, 0.664, 0.732 | PDLC00791,Cyclase_00031, 1, 1e-05, 0.425, 0.354 | PDLC00791,Cyclase_00031, 2, 1200, 0.1, 0.087 | PDLC00794,Cyclase_00034, 1, 7.8e-08, 0.771, 0.842 | PDLC00823,Cyclase_00063, 1, 6.3e-65, 0.987, 0.982 | PDLC00790,Cyclase_00030, 1, 1.9e-08, 0.791, 0.726 | PDLC00819,Cyclase_00059, 1, 7.2e-58, 0.316, 0.99 | PDLC00780,Cyclase_00020, 1, 0.002, 0.508, 0.423 | PDLC00822,Cyclase_00062, 1, 2.2e-12, 0.359, 0.299 | PDLC00822,Cyclase_00062, 2, 5.3e-09, 0.522, 0.424 | PDLC00775,Cyclase_00015, 1, 8, 0.11, 0.085 | PDLC00775,Cyclase_00015, 2, 0.019, 0.505, 0.38 | PDLC00769,Cyclase_00009, 1, 3.7e-15, 0.694, 0.751 | PDLC00810,Cyclase_00050, 1, 6.6e-34, 0.967, 0.866 | PDLC00806,Cyclase_00046, 1, 7.9, 0.153, 0.124 | PDLC00806,Cyclase_00046, 2, 0.052, 0.126, 0.096 | PDLC00777,Cyclase_00017, 1, 4.5e-20, 0.914, 0.801 | PDLC00821,Cyclase_00061, 1, 470, 0.116, 0.081 | PDLC00821,Cyclase_00061, 2, 54, 0.176, 0.113 | PDLC00821,Cyclase_00061, 3, 0.13, 0.123, 0.085 | PDLC00793,Cyclase_00033, 1, 0.00028, 0.963, 0.63 | PDLC00809,Cyclase_00049, 1, 1.1e-151, 0.993, 0.997 | PDLC00798,Cyclase_00038, 1, 1.6e-09, 0.764, 0.657 | PDLC00808,Cyclase_00048, 1, 2.1e-15, 0.734, 0.695 | PDLC00808,Cyclase_00048, 2, 0.0069, 0.163, 0.154 | PDLC00812,Cyclase_00052, 1, 0.036, 0.193, 0.168 | PDLC00771,Cyclase_00011, 1, 5.2e-07, 0.422, 0.465 | PDLC00786,Cyclase_00026, 1, 4.1e-27, 0.98, 0.99 | PDLC00781,Cyclase_00021, 1, 32, 0.103, 0.082 | PDLC00781,Cyclase_00021, 2, 0.042, 0.495, 0.376 | PDLC00792,Cyclase_00032, 1, 1.1e-15, 0.611, 0.767 | PDLC00768,Cyclase_00008, 1, 9.9, 0.103, 0.082 | PDLC00768,Cyclase_00008, 2, 0.027, 0.495, 0.374 | PDLC00785,Cyclase_00025, 1, 1.4e-09, 0.449, 0.289 | PDLC00785,Cyclase_00025, 2, 0.01, 0.282, 0.19 | PDLC00788,Cyclase_00028, 1, 3e-06, 0.548, 0.633 | PDLC00814,Cyclase_00054, 1, 3e-21, 0.973, 0.966 | PDLC00773,Cyclase_00013, 1, 7.8e-25, 0.967, 0.865 | PDLC00779,Cyclase_00019, 1, 3.4e-24, 0.95, 0.814 | PDLC00776,Cyclase_00016, 1, 2.3e-32, 0.98, 0.976 | PDLC00796,Cyclase_00036, 1, 5.3e-24, 0.983, 0.657 | PDLC00802,Cyclase_00042, 1, 2.3e-07, 0.266, 0.271 | PDLC00802,Cyclase_00042, 2, 7.9e-26, 0.561, 0.515 | PDLC00803,Cyclase_00043, 1, 2.2e-21, 0.814, 0.877 | PDLC00824,Cyclase_00064, 1, 2.3e-05, 0.957, 0.635 | PDLC00795,Cyclase_00035, 1, 2.6e-07, 0.694, 0.632","PDLC00809, Cyclase_00049, 1.1e-151, 0.993, 0.997 | PDLC00823, Cyclase_00063, 6.3e-65, 0.987, 0.982 | PDLC00819, Cyclase_00059, 7.2e-58, 0.316, 0.99 | PDLC00818, Cyclase_00058, 7.5e-43, 0.98, 0.904 | PDLC00810, Cyclase_00050, 6.6e-34, 0.967, 0.866"
6,NC_011770.1,cbass_type_III,NC_011770.1_2735,PDLC00745,Effector_00083,Effector,2.6999999999999996e-114,2.9999999999999994e-114,0.992,0.984,2861121,2861846,+,-,2735,6059,"PDLC00745,Effector_00083, 1, 3e-114, 0.992, 0.984","PDLC00745, Effector_00083, 3e-114, 0.992, 0.984"
2,NC_011770.1,Lamassu_Family,NC_011770.1_3471,PDLC03863,Lamassu-Fam__LmuB_SMC_Mrr,LmuB,8.399999999999998e-113,9.399999999999998e-113,0.971,0.959,3748112,3750196,-,-,3471,6059,"PDLC00263,LmuB2_00003, 1, 2.3, 0.043, 0.147 | PDLC00263,LmuB2_00003, 2, 0.71, 0.073, 0.25 | PDLC00263,LmuB2_00003, 3, 2800, 0.059, 0.201 | PDLC00253,LmuB1_00005, 1, 0.02, 0.062, 0.076 | PDLC00253,LmuB1_00005, 2, 130, 0.345, 0.395 | PDLC00253,LmuB1_00005, 3, 2.3, 0.098, 0.12 | PDLC03862,Lamassu-Fam__LmuB_SMC_Lipase, 1, 9.8e-11, 0.896, 0.863 | PDLC00250,LmuB1_00002, 1, 8.4e-09, 0.062, 0.074 | PDLC00250,LmuB1_00002, 2, 430, 0.066, 0.074 | PDLC00250,LmuB1_00002, 3, 83, 0.158, 0.186 | PDLC00250,LmuB1_00002, 4, 3.7, 0.229, 0.263 | PDLC00256,LmuB1_00008, 1, 6.5e-05, 0.046, 0.057 | PDLC00256,LmuB1_00008, 2, 170, 0.065, 0.078 | PDLC00256,LmuB1_00008, 3, 19, 0.167, 0.21 | PDLC00256,LmuB1_00008, 4, 7.2, 0.079, 0.094 | PDLC00252,LmuB1_00004, 1, 0.0019, 0.098, 0.125 | PDLC00252,LmuB1_00004, 2, 0.0099, 0.131, 0.17 | PDLC00252,LmuB1_00004, 3, 1100, 0.285, 0.33 | PDLC03859,Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II, 1, 1.9e-26, 0.955, 0.961 | PDLC03860,Lamassu-Fam__LmuB_SMC_Cap4_nuclease, 1, 8.3e-17, 0.964, 0.935 | PDLC00255,LmuB1_00007, 1, 0.00012, 0.062, 0.078 | PDLC00255,LmuB1_00007, 2, 520, 0.062, 0.078 | PDLC00255,LmuB1_00007, 3, 740, 0.176, 0.216 | PDLC00255,LmuB1_00007, 4, 54, 0.114, 0.145 | PDLC03867,Lamassu-Fam__LmuB_SMC_hypothetical, 1, 2e-06, 0.046, 0.053 | PDLC03867,Lamassu-Fam__LmuB_SMC_hypothetical, 2, 54, 0.122, 0.134 | PDLC03867,Lamassu-Fam__LmuB_SMC_hypothetical, 3, 1.7, 0.271, 0.291 | PDLC00258,LmuB1_00010, 1, 0.0026, 0.049, 0.093 | PDLC00258,LmuB1_00010, 2, 0.18, 0.176, 0.319 | PDLC00258,LmuB1_00010, 3, 90, 0.118, 0.223 | PDLC03863,Lamassu-Fam__LmuB_SMC_Mrr, 1, 9.4e-113, 0.971, 0.959 | PDLC03865,Lamassu-Fam__LmuB_SMC_Hydrolase_protease, 1, 1e-09, 0.153, 0.11 | PDLC03865,Lamassu-Fam__LmuB_SMC_Hydrolase_protease, 2, 4.1e-05, 0.403, 0.266 | PDLC03865,Lamassu-Fam__LmuB_SMC_Hydrolase_protease, 3, 2.5e-11, 0.134, 0.093 | PDLC00249,LmuB1_00001, 1, 0.018, 0.045, 0.055 | PDLC00249,LmuB1_00001, 2, 17, 0.119, 0.152 | PDLC00249,LmuB1_00001, 3, 0.1, 0.233, 0.278 | PDLC00249,LmuB1_00001, 4, 120, 0.095, 0.117 | PDLC03866,Lamassu-Fam__LmuB_SMC_Sir2, 1, 0.00022, 0.06, 0.066 | PDLC03866,Lamassu-Fam__LmuB_SMC_Sir2, 2, 250, 0.134, 0.232 | PDLC03866,Lamassu-Fam__LmuB_SMC_Sir2, 3, 160, 0.043, 0.045","PDLC03863, Lamassu-Fam__LmuB_SMC_Mrr, 9.4e-113, 0.971, 0.959 | PDLC03859, Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II, 1.9e-26, 0.955, 0.961 | PDLC03860, Lamassu-Fam__LmuB_SMC_Cap4_nuclease, 8.3e-17, 0.964, 0.935 | PDLC03865, Lamassu-Fam__LmuB_SMC_Hydrolase_protease, 2.5e-11, 0.134, 0.093 | PDLC03862, Lamassu-Fam__LmuB_SMC_Lipase, 9.8e-11, 0.896, 0.863"
